NCTId,Sponsor,Locations
NCT05767112,University of Sao Paulo,"School of Physical Education and Sport - USP, São Paulo, Brazil"
NCT05888714,University of Sao Paulo General Hospital,"Instituto de Medicina Física e Reabilitação, Hospital das Clínicas, Faculdade de Medicina da Universidade de São Paulo, São Paulo, Brazil"
NCT05446415,University of Sao Paulo General Hospital,"Hospital das Clinicas da Faculdade de Medicina da USP, São Paulo, Brazil"
NCT04789135,Anhembi Morumbi University,"Distal Nefrologia e Urologia, Jacareí, Brazil"
NCT00412984,Bristol-Myers Squibb,"Local Institution, Salvador, Brazil; Local Institution, Salvador, Brazil; Local Institution, Salvador, Brazil; Local Institution, Salvador, Brazil; Local Institution, Belo Horzonte, Brazil; Local Institution, Belo Horzonte, Brazil; Local Institution, Juiz de Fora, Brazil; Local Institution, Juiz de Fora, Brazil; Local Institution, Uberaba, Brazil; Local Institution, Uberlândia, Brazil; Local Institution, Uberlândia, Brazil; Local Institution, Campina Grande do Sul, Brazil; Local Institution, Campina Grande do Sul, Brazil; Local Institution, Curitiba, Brazil; Local Institution, Curitiba, Brazil; Local Institution, Curitiba, Brazil; Local Institution, Curitiba, Brazil; Local Institution, Londrina, Brazil; Local Institution, Londrina, Brazil; Local Institution, Belém, Brazil; Local Institution, Belém, Brazil; Local Institution, Natal, Brazil; Local Institution, Natal, Brazil; Local Institution, Porte Alegre, Brazil; Local Institution, Porte Alegre, Brazil; Local Institution, Porte Alegre, Brazil; Local Institution, Porte Alegre, Brazil; Local Institution, Porto Alegre, Brazil; Local Institution, Porto Alegre, Brazil; Local Institution, Porto Alegre, Brazil; Local Institution, Porto Alegre, Brazil; Local Institution, Porto Alegre, Brazil; Local Institution, Porto Alegre, Brazil; Local Institution, Porto Alegre, Brazil; Local Institution, Porto Alegre, Brazil; Local Institution, Blumenau, Brazil; Local Institution, Blumenau, Brazil; Local Institution, São José, Brazil; Local Institution, São José, Brazil; Local Institution, Botucatu, Brazil; Local Institution, Botucatu, Brazil; Local Institution, Campinas, Brazil; Local Institution, Campinas, Brazil; Local Institution, Marília, Brazil; Local Institution, Marília, Brazil; Local Institution, Marília, Brazil; Local Institution, Marília, Brazil; Local Institution, Marília, Brazil; Local Institution, San Jose Do Rio Preto, Brazil; Local Institution, San Jose Do Rio Preto, Brazil; Local Institution, Santo André, Brazil; Local Institution, Santo André, Brazil; Local Institution, São José do Rio Preto, Brazil; Local Institution, São José do Rio Preto, Brazil; Local Institution, São José do Rio Preto, Brazil; Local Institution, Rio de Janeiro, Brazil; Local Institution, Rio de Janeiro, Brazil; Local Institution, Rio de Janeiro, Brazil; Local Institution, Rio de Janeiro, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil"
NCT03400033,GlaxoSmithKline,"GSK Investigational Site, Salvador, Brazil; GSK Investigational Site, Curitiba, Brazil; GSK Investigational Site, Passo Fundo, Brazil; GSK Investigational Site, Porto Alegre, Brazil; GSK Investigational Site, São José do Rio Preto, Brazil; GSK Investigational Site, Belo Horizonte, Minas Gerais, Brazil; GSK Investigational Site, São Paulo, Brazil"
NCT01950026,Paulista University,"Rehabilitation Center of Universidade Paulista, São Paulo, Brazil"
NCT03424278,University of Brasilia,"University of Brasilia, Brasília, Brazil"
NCT02939625,University of Nove de Julho,"Maisi David Cabral, São Paulo, Brazil"
NCT03160976,Federal University of Health Science of Porto Alegre,"Federal University of Health Science of Porto Alegre, Porto Alegre, Brazil"
NCT00635947,UPECLIN HC FM Botucatu Unesp,"School of Medicine of Botucatu--São Paulo State University (Unesp)--, Botucatu, Brazil"
NCT01071785,Hospital de Clinicas de Porto Alegre,"HCPA, Porto Alegre, Brazil"
NCT03235284,Federal University of Bahia,"Complex Hospital Professor Edgard Santos, Federal University of Bahia, Salvador, Brazil"
NCT00565838,UPECLIN HC FM Botucatu Unesp,"Medical School of Medicine, Botucatu, Brazil"
NCT00261443,"Otsuka Pharmaceutical Development & Commercialization, Inc.","Local Institution, Salvador, Brazil; Local Institution, Aparecida de Goinia, Brazil; Local Institution, Pelotas, Brazil; Local Institution, Rio de Janeiro, Brazil; Local Institution, São Paulo, Brazil; Local Institution, São Paulo, Brazil"
NCT02105376,Santa Casa Medical School,"Centro de Atencao Integrada à Saúde Mental, São Paulo, Brazil"
NCT04681040,"National Center for Global Health and Medicine, Japan","Hospital das Clinicas Ribeirao Preto, Ribeirão Preto, Brazil"
NCT01392638,"University of Campinas, Brazil","Laboratory of Cardiovascular Pharmacology - FCM - Unicamp, Campinas, Brazil"
NCT05310526,Hospital do Coracao,"Prefeitura Municipal de Foz do Iguaçu, Foz do Iguaçu, Brazil"
NCT04304326,Federal University of São Paulo,"São Paulo Hospital, São Paulo, Brazil"
NCT03923608,São Paulo State University,"State University of são Paulo, Presidente Prudente, Brazil"
NCT05696925,Federal University of Health Science of Porto Alegre,"UFCSPA, Porto Alegre, Brazil"
NCT06937099,Eli Lilly and Company,"NewData Clinical Research - Aracaju, Aracaju, Brazil; L2IP - Instituto de Pesquisas Clínicas, Brasília, Brazil; Loema Instituto de Pesquisa Clinica, Campinas, Brazil; Fundação Universidade de Caxias do Sul (FUCS), Caxias do Sul, Brazil; Centro Digestivo de Curitiba, Curitiba, Brazil; Galileo Medical Research, Juiz de Fora, Brazil; Hospital de Clinicas de Porto Alegre, Porto Alegre, Brazil; Hospital de Clínicas de Ribeirão Preto, Ribeirão Preto, Brazil; CLIAGEN Clínica de Atenção em Gastroenterologia, Especialidades e Nutrição, Salvador, Brazil; Pesquisare Saude, Santo André, Brazil; CPQuali Pesquisa Clínica, São Paulo, Brazil; CEPIC - Centro Paulista de Investigação Clínica, São Paulo, Brazil; Clínica Hepatogastro JK, São Paulo, Brazil; CEDOES, Vitória, Brazil; Integral Pesquisa e Ensino, Votuporanga, Brazil"
NCT01802268,Helio Tedesco Silva Junior,"Hospital University Evangélico de Curitiba, Curitiba, Parana, Brazil, Curitiba, Brazil; Nephrology Service, Bonsucesso General Hospital. Rio de Janeiro, Brazil, Rio de Janeiro, Brazil; Kidney & Pancreas Transplant Unit, Santa Casa de Misericordia, Porto Alegre, Brazil, Porto Alegre, Brazil; Instituto de Urologia e Nefrologia & Medical School-FAMERP/HB-FUNFARME, São José do Rio Preto-SP, Brazil, São Jose Do Rio Preto, Brazil; Nephrology Division, Hospital do Rim, Federal University of São Paulo, Brazil, São Paulo, Brazil; Renal Transplant Service, Hospital das Clínicas, University of São Paulo School of Medicine, São Paulo, Brazil., São Paulo, Brazil"
NCT04467476,Universidade Federal do Piauí,"Department of Physical Therapy. Federal University of Piaui, Parnaíba, Brazil"
NCT00289640,Bristol-Myers Squibb,"Local Institution, Centro-Porto Alegre, Brazil; Local Institution, Porto Alegre, Brazil; Local Institution, Jaú, Brazil; Local Institution, São Paulo, Brazil"
NCT02105740,Gil Montenegro,"UNB- Universidade de Brasilia, Brasília, Brazil"
NCT02459444,Federal University of Bahia,"Mansueto Gomes Neto, Salvador, Brazil"
NCT06619509,Boehringer Ingelheim,"H.S.J. Beneficência Portuguesa - São Paulo, São Paulo, Brazil"
NCT06651099,University of Brasilia,"Universidade de Brasília, Ceilândia, Brazil; Federal University of Mato Grosso do Sul, Campo Grande, Brazil"
NCT02327052,Hospital Sao Rafael,"Hospital São Rafael, Salvador, Brazil"
NCT02420821,Hoffmann-La Roche,"Hospital de Caridade de Ijui; Oncologia, Ijuí, Brazil; Santa Casa de Misericordia de Porto Alegre, Porto Alegre, Brazil; Hospital Sao Lucas - PUCRS, Porto Alegre, Brazil; Instituto do Cancer do Estado de Sao Paulo - ICESP, São Paulo, Brazil"
NCT02761187,Takeda,"Unicamp Universidade Estadual de Campinas, Campinas, Brazil; Centro de Pesquisas Oncologicas, Florianópolis, Brazil; Hospital Das Clinicas Da Universidade Federal de Goias, Goiânia, Brazil; Universidade Federal Do Rio de Janeiro Hospital Universitario Clementino Fraga Filho, Rio de Janeiro, Brazil; CEHON - Centro de Hematologia e Oncologia da Bahia Ltda, Salvador, Brazil; Clinica Sao Germano, São Paulo, Brazil; Hospital Israelita Albert Einstein, São Paulo, Brazil; Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao Paulo, São Paulo, Brazil"
NCT03103204,University of Taubate,"University of Taubate, Taubaté, Brazil"
NCT01110252,UPECLIN HC FM Botucatu Unesp,"Laboratório de Genética Humana e Terapia Celular, Assis, Brazil"
NCT05772338,EMS,"EMS, Hortolândia, Brazil; Cecip Jau - Centro de Estudos Clinicos Do Interior Paulista Ltda, Jaú, Brazil"
NCT03712215,Universidade Metodista de Piracicaba,"Hospital de Clínicas Gaspar Viana, Belém, Brazil"
NCT06408935,Janssen-Cilag Ltd.,"Cliged, Macaé, Brazil; Instituto Mederi de Pesquisa e Saude, Passo Fundo, Brazil; NPCRS Nucleo de Pesquisa Clinica do Rio Grande do Sul, Porto Alegre, Brazil; INTEGRAL Pesquisa e Ensino, Votuporanga, Brazil"
NCT02178852,Santa Casa Medical School,"Centro de Atencao Integrada à Saúde Mental - CAISM, São Paulo, Brazil"
NCT06173648,"CAO Group, Inc.","Unicesumar Clinic, Maringá, Brazil"
NCT04788355,Universidade do Vale do Sapucai,"Univás, Pouso Alegre, Brazil"
NCT05682378,Novartis Pharmaceuticals,"Novartis Investigative Site, Fortaleza, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, São Paulo, Brazil"
NCT00678678,Universidade Metodista de Piracicaba,"Meridional Hospital, Cariacica, Brazil"
NCT06635135,"Janssen Research & Development, LLC","CAEP Centro Avancado De Estudos E Pesquisas, Campinas, Brazil; Centro Integrado Facili, São Bernardo do Campo, Brazil"
NCT04504825,"Alexion Pharmaceuticals, Inc.","Research Site, Porto Alegre, Brazil; Research Site, Ribeirão Preto, Brazil; Research Site, S.J. Do Rio Preto, Brazil; Research Site, Salvador, Brazil"
NCT03273517,Faculdade de Ciências Médicas da Santa Casa de São Paulo,"Santa Casa of São Paulo Medical School, São Paulo, Brazil"
NCT05284747,Amgen,"Clínica Silvestre Sante, Rio Branco, Brazil; Instituto Cardiovascular de Linhares, Linhares, Brazil; Hospital Ruy Azeredo, Ipiranga Goiânia, Brazil; Hospital Universitario Sao Francisco na Providencia de Deus, Ipiranga Goiânia, Brazil; Hospital Madre Teresa, Belo Horizonte, Brazil; Hospital Universitário Ciências Médicas de Belo Horizonte, Belo Horizonte, Brazil; Hospital do Coracao de Pocos de Caldas CEC servicos medicos, Poços de Caldas, Brazil; Ps Cardiologico de PE - Procape, Casa Forte, Brazil; Instituto Atena de Pesquisa Clínica, Natal, Brazil; Centro de Pesquisa Clínica Associação Hospitalar Moinhos de Vento, Porto Alegre, Brazil; Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil; Instituto de Cardiologia do Rio Grande do Sul, Porto Alegre, Brazil; Santa Casa de Porto Alegre, Porto Alegre, Brazil; Hospital Mãe de Deus, Porto Alegre, Brazil; Hospital Beneficência Portuguesa, São Paulo, Brazil; Cmep-Centro Multidisciplinar Ensino e Pesq, Joinville, Brazil; Instituto de Cardiologia de Santa Catarina, Praia Comprida, Sao Jose, Brazil; Centro de Pesquisa Clinica do Coracao, Aracaju, Brazil; Instituto de Pesquisa Clínica de Campinas, Campinas, Brazil; Irmandade da Santa Casa de Misericordia de Marilia, Marília, Brazil; Hospital Regional de Presidente Prudente, Presidente Prudente, Brazil; Instituto Dante Pazanesse, São Paulo, Brazil; Instituto do coracao da Faculdade de Medicina da Universidade de Sao Paulo - InCor, São Paulo, Brazil; Hospital Israelita Albert Einstein, São Paulo, Brazil"
NCT02514226,University of Nove de Julho,"InCor Heart Institute, São Paulo, Brazil"
NCT00995735,IMTN NOTES Research Group,"Hospital Municipal Lourenco Jorge, Rio de Janeiro, Brazil"
NCT03386747,University of Sao Paulo,"Faculdade de Medicina da Universidade de São Paulo, São Paulo, Brazil"
NCT04784715,AstraZeneca,"Research Site, Florianópolis, Brazil; Research Site, Goiânia, Brazil; Research Site, Londrina, Brazil; Research Site, Natal, Brazil; Research Site, Porto Alegre, Brazil; Research Site, Ribeirão Preto, Brazil; Research Site, São Paulo, Brazil; Research Site, Sorocaba, Brazil; Research Site, Vitória, Brazil"
NCT04701684,Philips Clinical & Medical Affairs Global,"Hospital Geral de Fortaleza, Fortaleza, Brazil; Hospital de Base, São José do Rio Preto, Brazil; Hospital Estadual Central - Fundação Estadual de Inovação em Saúde - Inova Capixaba, Vitória, Brazil"
NCT04136184,"Ionis Pharmaceuticals, Inc.","Instituto de Neurologia de Curitiba, Curitiba, Brazil; Universidade Estadual de Campinas, Campinas, Brazil; Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto, Ribeirão Preto, Brazil; Hospital Universitário Clementino Fraga Filho, Rio de Janeiro, Brazil; Associação de Assistência à Criança Deficiente - Unidade Lar Escola, São Paulo, Brazil"
NCT03271749,Igor Renato Louro Bruno de Abreu,"Ambulatório de Nódulos e Massas Pulmonares H Santa Marcelina, São Paulo, Brazil"
NCT04410549,IRCCS San Raffaele,"Incor - Heart Institute - University of Sao Paulo, São Paulo, Brazil"
NCT05704049,Sanofi,"Hospital Mae de Deus Site Number : 0760002, Porto Alegre, Brazil; Clínica São Germano Site Number : 0760003, São Paulo, Brazil; Hospital das Clinicas de Sao Paulo Site Number : 0760001, São Paulo, Brazil"
NCT02270658,University of Sao Paulo General Hospital,"Pronto Socorro Cardiológico de Pernambuco (PROCAPE), Recife, Brazil; Hospital das Clínicas de Porto Alegre, Porto Alegre, Brazil; Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto, Ribeirão Preto, Brazil; Fundação Zerbini - Instituto do Coração (InCor), São Paulo, Brazil; Hospital Universitário da Universidade de São Paulo (HU), São Paulo, Brazil"
NCT05122455,University of Sao Paulo,"Instituto do Coracao (InCor), Hospital das Clinicas HCFMUSP, Faculdade de Medicina, Universidade de Sao Paulo, São Paulo, Brazil"
NCT05912517,"Janssen Research & Development, LLC","Universidade Federal De Minas Gerais, Belo Horizonte, Brazil; Empresa Brasileira de Servicos Hospitalares EBSERH Hospital das Clinicas da UFG, Goiânia, Brazil; Instituto de Medicina Integral Professor Fernando Figueira, Recife, Brazil; Instituto D Or de Pesquisa e Ensino IDOR, Rio de Janeiro, Brazil; Hospital Das Clinicas Da Faculdade De Medicina Da USP, São Paulo, Brazil"
NCT02722317,Santa Catarina Federal University,"NAFAVD - Núcleo de Atendimento a Núcleo de Atendimento à Família e aos autores de violência Doméstica (Center for Assistance to Family and perpetrators of Domestic violence), Brasília, Brazil"
NCT01327950,Endovascular Consultoria Limitada,"Hospital Felicio Rocho, Belo Horizonte, Brazil; Instituto de Medicina Integral Professor Fernando Figueira (IMIP), Recife, Brazil; Clinica Coris Medicina Avançada /Baia Sul Medical Center, Florianópolis, Brazil; Hospital Santa Marcelina de São Paulo, São Paulo, Brazil; Instituto Dante Pazzanese de Cardiologia, São Paulo, Brazil; Irmandade Santa Casa de Misericórdia de São Paulo, São Paulo, Brazil"
NCT00656747,Bayer,", Juiz de Fora, Brazil; , Porto Alegre, Brazil; , São Paulo, Brazil; , São Paulo, Brazil"
NCT02706015,Ache Laboratorios Farmaceuticos S.A.,"Ache Laboratorios Farmaceuticos, Guarulhos, Brazil"
NCT05622708,Novartis Pharmaceuticals,"Novartis Investigative Site, Juiz de Fora, Brazil; Novartis Investigative Site, Porto Alegre, Brazil; Novartis Investigative Site, Barretos, Brazil; Novartis Investigative Site, São Paulo, Brazil"
NCT00946868,University of Sao Paulo,"Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao Paulo, São Paulo, Brazil"
NCT00417079,Sanofi,"sanofi-aventis Brazil, São Paulo, Brazil"
NCT03326362,University of Sao Paulo,"Juliana Pennone, São Paulo, Brazil"
NCT04093362,"Taiho Oncology, Inc.","IOP - Instituto de Oncologia do Parana, Curitiba, Brazil; Instituto Nacional de Cancer Jose Alencar Gomes da Silva - INCA, Rio de Janeiro, Brazil; Instituto Americas, Rio de Janeiro, Brazil; Cepho-Fm Abc, Santo André, Brazil; Hospital de Base de Sao Jose do Rio Preto, São José do Rio Preto, Brazil; Instituto do Cancer do Estado de Sao Paulo, São Paulo, Brazil; Fundacao Antonio Prudente - A.C.Camargo Cancer Center, São Paulo, Brazil; Hospital Municipal Vila Santa Catarina, São Paulo, Brazil; Hospital Santa Marcelina HSM, São Paulo, Brazil"
NCT05814627,AbbVie,"CMiP - Centro Mineiro de Pesquisa Ltda - ME /ID# 254203, Juiz de Fora, Brazil; CETI - Centro de Estudos em Terapias Inovadoras /ID# 254201, Curitiba, Brazil; Hospital de Clinicas de Porto Alegre /ID# 254916, Porto Alegre, Brazil; LMK Sevicos Medicos S/S /ID# 254202, Porto Alegre, Brazil; Fundacao Faculdade Regional de Medicina de Sao Jose do Rio Preto /ID# 254917, São José do Rio Preto, Brazil; CEPIC - Centro Paulista de Investigacao Clinica /ID# 254200, São Paulo, Brazil"
NCT00949442,Sanofi,"Investigational Site Number 076-001, Fortaleza, Brazil; Investigational Site Number 076-006, Fortaleza, Brazil; Investigational Site Number 076-005, Porto Alegre, Brazil; Investigational Site Number 076-007, Rio de Janeiro, Brazil; Investigational Site Number 076-004, São Paulo, Brazil; Investigational Site Number 076-003, São Paulo, Brazil; Investigational Site Number 076-002, São Paulo, Brazil"
NCT03530254,Igenomix,"Vida Bem Vinda, São Paulo, Brazil"
NCT03220230,Pfizer,"Centro Regional Integrado de Oncologia, Fortaleza, Brazil; Instituto Goiano de Oncología e Hematologia, Aparecida de Goiana, Brazil; Hospital Luxemburgo, Belo Horizonte, Brazil; Hospital Felicio Rocho, Belo Horizonte /MG, Brazil; Instituto de Cancer de Londrina, Londrina, Brazil; Centro de Pesquisa da Universidade Federal de Sao Paulo - UNIFESP, São Paulo, Brazil; Fundaçao Pio XII, Hospital do Cancer de Barretos, Barretos, Brazil; Liga Paranaense de Combate ao Cancer Hospital Erasto Gaetner, Curtiba-PR, Brazil; Hospital Sao Lucas da PUCRS, Porto Alegre, Brazil; Irmandade da Santa Casa de Misericordia de Porto Alegre (ISCMPA) - Hospital Santa Rita, Porto Alegre, Brazil; Instituto de Medicina Integral Prof. Fernando Figueira - IMIP, Recife, Brazil; Instituto COI de Pesquisa Educacao e Gestao, Rio de Janeiro, Brazil; Hospital Da Bahia, Salvador, Brazil; Hospital Santa Izabel, Salvador, Brazil; Nucleo de Oncologia da Bahia, Salvador, Brazil; Instituto de Oncologia de Sorocaba - ONCO Clinicas Especializadas SC Ltda, São Paulo, Brazil; A.C. Camargo Cancer Center, São Paulo, Brazil; Fundacao Faculdade Regional de Medicina de Sao Jose do Rio Preto, São Paulo, Brazil; Hospital Israelita Albert Einstein, São Paulo/SP, Brazil"
NCT05609630,AbbVie,"CMiP - Centro Mineiro de Pesquisa Ltda - ME /ID# 251769, Juiz de Fora, Brazil; Hospital Sao Paulo /ID# 251765, São Paulo, Brazil; Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao /ID# 251764, São Paulo, Brazil"
NCT05633667,Gilead Sciences,"Centro Gaúcho Integrado de Oncologia Hematologia, Ensino e Pesquisa Ltda./Hospital Mãe de Deus,Substudy-03, Porto Alegre, Brazil; Hospital Mae de Deus, Porto Alegre, Brazil; Hospital Sao Lucas da PUC Rio Grande do Sul,Substudy-03, Porto Alegre, Brazil; Fundação Antonio Prudente/A.C. Camargo Cancer Center,Substudy-03, São Paulo, Brazil; Real e Benemérita Associação Portuguesa de Beneficência/Hospital Beneficência Portuguesa de São Paulo (Hospital BP),Substudy-03, São Paulo, Brazil"
NCT05548400,Hospital de Clinicas de Porto Alegre,"Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil"
NCT03525600,"Apellis Pharmaceuticals, Inc.","Clinica Ocular Oftalmologia LTDA, Vitória, Brazil; Clinica Oftalmologica Sao Lucas, Osasco, Brazil; IPEPO - Instituto Da Visao, São Paulo, Brazil; Instituto da Visão - Hospital de Olhos Ltda, Belo Horizonte, Brazil; Hospital De Clinicas De Porto Alegre, Porto Alegre, Brazil; UNIFESP - Federal University, São Paulo, Brazil"
NCT01073371,"University of Campinas, Brazil","Piracicaba Dental School, Piracicaba, Brazil"
NCT05972434,Johnson & Johnson Consumer Inc. (J&JCI),"Allergisa Pesquisa Dermato-Cosmética Ltda, Campinas, Brazil"
NCT06830434,"University of Campinas, Brazil","University of Campinas, UNICAMP, Piracicaba, Brazil"
NCT05450692,AstraZeneca,"Research Site, Fortaleza, Brazil; Research Site, Porto Alegre, Brazil; Research Site, Porto Alegre, Brazil; Research Site, Salvador, Brazil; Research Site, São Paulo, Brazil; Research Site, São Paulo, Brazil"
NCT00077792,Sanofi,"Sanofi-Aventis Administrative Office, São Paulo, Brazil"
NCT07124299,Pedro de Figueiredo Buchalla,"Centro Universitário FMABC, Santo André, Brazil"
NCT04861220,"Instituto Nacional de Cancer, Brazil","Instituto Nacional do Câncer / HCIII, Rio de Janeiro, Brazil"
NCT04341220,University of Sao Paulo General Hospital,"Department of Physical Therapy, Communication Sciences and Disorders, and Occupational Therapy, Faculty of Medicine, University of São Paulo, São Paulo, Brazil"
NCT03540823,University of Sao Paulo General Hospital,"Rheumatology Division of Hospital das Clínicas da Faculdade de Medicina da Universidade de Sao Paulo, São Paulo, Brazil"
NCT02870803,"Retina Clinic, Sao Paulo, Brazil","Retina Clinic, São Paulo, Brazil"
NCT03869892,Institut de Recherches Internationales Servier,"Hospital do Câncer de Barretos - Fundação Pio XII Unidade de Pesquisa Clínica, Barretos, Brazil; Cenantron - Clinica, Belo Horizonte, Brazil; Sirio Libanes DF - Centro de Oncologia de Braslia do Sirio- Centro Intergrado de Pesquisa, Brasília, Brazil; Centro de Pesquisa Hospital de Caridade de Ijuí Unidade de Pesquisa Clínica, Ijuí, Brazil; Hospital Mae de Deus Oncologia, Porto Alegre, Brazil; Hospital São Rafael Centro Intergrado de Pesquisa, Salvador, Brazil; CEPHO - Centro de Estudos e Pesquisas em Hematologia e Oncol Centro Intergrado de Pesquisa, Santo André, Brazil; Hospital de Base Centro Integrado de Pesquisa, São José do Rio Preto, Brazil; ICESP - Instituto do Câncer do Estado de São Paulo Centro Integrado de Pesquisa, São Paulo, Brazil; Hospital A C Camargo Unidade de Pesquisa Clinica, São Paulo, Brazil"
NCT01461096,National Institute of Allergy and Infectious Diseases (NIAID),"Instituto de Pesquisa Clinica Evandro Chagas (IPEC) CRS, Rio de Janeiro, Brazil"
NCT03383146,Allergan,"Hospital Universitário Walter Cantídio, Fortaleza, Brazil; Centro de Pesquisa Clinica do Brasil, Brasília, Brazil; Hospital Universitário João de Barros Barreto - UFPA, Belém, Brazil; Núcleo de Pesquisa Clínica do Rio Grande do Sul, Porto Alegre, Brazil; Instituto Catarinense de Endocrinologia e Diabetes (ICED), Joinville, Brazil; Scentryphar Pesquisa Clínica Ltda, Campinas, Brazil; Instituto de Pesquisa Clinica em Campinas, Campinas, Brazil; Instituto de Estudos e Pesquisas Clinicas do Ceara IEP/CE - Oncology, Fortaleza, Brazil; IPEC-Instituto de Pesquisa Clinica, São Paulo, Brazil; CPQuali Pesquisa Clinica Ltda, São Paulo, Brazil"
NCT01983241,Grifols Therapeutics LLC,"Faculdade de Medicina do ABC, Santo André, Brazil; UNIFESP - Universidade Federal de São Paulo, São Paulo, Brazil; Instituto do Coração - Incor- HCFMUSP, São Paulo, Brazil"
NCT01528254,Novartis Pharmaceuticals,"Novartis Investigative Site, Fortaleza, Brazil; Novartis Investigative Site, Fortaleza, Brazil; Novartis Investigative Site, Brasília, Brazil; Novartis Investigative Site, Goiânia, Brazil; Novartis Investigative Site, Curitiba, Brazil; Novartis Investigative Site, Belém, Brazil; Novartis Investigative Site, Porto Alegre, Brazil; Novartis Investigative Site, Mogi das Cruzes, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, São Paulo, Brazil"
NCT05952869,Merck Sharp & Dohme LLC,"Universidade Federal Do Ceara ( Site 0702), Fortaleza, Brazil; Instituto Dante Pazzanese de Cardiology-Fundação Adib Jatene ( Site 0701), São Paulo, Brazil; Incor - Instituto do Coracao ( Site 0703), São Paulo, Brazil"
NCT02983227,"Genentech, Inc.","CIP - Centro Internacional de Pesquisa X; Pesquisa Clinica, Goiânia, Brazil; CMiP - Centro Mineiro de Pesquisa*X*, Juiz de Fora, Brazil; Centro de Estudos em Terapias Inovadoras - CETI, Curtiba, Brazil; CCBR Brasil Centro de Pesquisas e Análises Clínicas Ltda., Rio de Janeiro, Brazil; LMK Serviços Médicos S/S, Porto Alegre, Brazil; CAEP - Centro Avancado de Estudos e Pesquisas Ltda., Campinas, Brazil; IMA Brasil - Instituto de Medicina Avancada, São Paulo, Brazil"
NCT00097786,Novartis Pharmaceuticals,", Investigative Site, Brazil"
NCT01100541,University of Sao Paulo,"Interunits postgraduate program in bioengineering, São Carlos, Brazil"
NCT04360473,University of Sao Paulo General Hospital,"Hospital da Beneficência Portuguesa de Santos, Santos, Brazil"
NCT00482573,University of Sao Paulo,"Heart Institute (InCor) of University of São Paulo Medical School, São Paulo, Brazil"
NCT02336451,Novartis Pharmaceuticals,"Novartis Investigative Site, Salvador, Brazil; Novartis Investigative Site, Natal, Brazil; Novartis Investigative Site, Porto Alegre, Brazil; Novartis Investigative Site, Itajaí, Brazil; Novartis Investigative Site, Barretos, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, São Paulo, Brazil"
NCT03343522,Instituto Nacional de Cardiologia de Laranjeiras,"Rio de Janeiro State University, Rio de Janeiro, Brazil"
NCT01050322,Latin American Cooperative Oncology Group,"Dr. Carlos Alberto Sampaio, Salvador, Brazil; Dr. José Bines, Rio de Janeiro, Brazil; Dr. Carlos Barrios, Porto Alegre, Brazil; Dra. Yeni Veronica Neron, Florianópolis, Brazil; Dr. Gustavo Ismael, Jaú, Brazil; Dra. Patricia Xavier Santi, Santo André, Brazil; Dr. Max Mano, São Paulo, Brazil; Dr. Marcello Fanelli, São Paulo, Brazil; Dra. Célia Tosselo de Oliveira, São Paulo, Brazil"
NCT03119688,GlaxoSmithKline,"GSK Investigational Site, Campinas, Brazil; GSK Investigational Site, Campinas, Brazil"
NCT01598688,University of Sao Paulo,"Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo, Ribeirão Preto, Brazil"
NCT00959088,Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections,"Instituto de Pesquisa Clinica Evandro Chagas (12101), Rio de Janeiro, Brazil"
NCT04457583,Universidade Federal Fluminense,"Hospital Naval Marcilio Dias, Rio de Janeiro, Brazil"
NCT04562766,"Principia Biopharma, a Sanofi Company","Hospital Sao Rafael Instituto D'Or da Bahia Site Number : 7608, Salvador, Brazil; Uniao Oeste Paranaense de Estudos e Combates ao Cancer Site Number : 7610, Cascavel, Brazil; Hospital De Clinicas De Porto Alegre Site Number : 7605, Porto Alegre, Brazil; Hospital Santa Marcelina Site Number : 7611, São Paulo, Brazil; CEMEC Oncologica do Brasil Site Number : 7606, Belém, Brazil; HEMORIO - Instituto Estadual de Hematologia Arthur de Siqueira Cavalcanti Site Number : 7609, Rio de Janeiro, Brazil; Hospital do Servidor Publico Estadual de Sao Paulo Site Number : 7607, São Paulo, Brazil"
