CNES,NOMEFANT
55990451000105,SANTA CASA DE MISERICORDIA E BENEFICENCIA PORTUGUESA
56000052000112,INSTITUTO SANTA LYDIA
56014830000203,FUNDACAO MATERNIDADE SINHA JUNQUEIRA
56350564000109,SOCIEDADE DE MISERICORDIA DE RINOPOLIS
56363807000143,IRMANDADE DA STA CASA LEONOR MENDES DE BARROS DE CARDOSO
56365356000183,ASSOCIACAO BENEFICENTE JULIA RUETE
56384183000140,IRMANDADE DA SANTA CASA DE MISERICORDIA DE RIO CLARO
56384225000143,CASA DE SAUDE E MATERNIDADE SANTA FILOMENA S A
56390123000130,CASA DE SAUDE BEZERRA DE MENEZES
56577059000100,FUNDACAO FACULDADE DE MEDICINA MEC MPAS
56577059000363,FUNDACAO FACULDADE DE MEDICINA MECMPAS
56577059000444,FUNDACAO FACULDADE DE MEDICINA MECMPAS
56626195000134,SOCIEDADE BENEFICENTE E HOSPITALAR SANTA RITA
56690662000195,HOSPITAL E MAT SAO SEBASTIAO STA CASA MIS SALTO GRANDE
56725385000109,SANTA CASA DE MISERICORDIA DE SANTA BARBARA DOESTE
56777063000103,SANTA CASA SAO JOAQUIM
56784424000149,IRMANDADE DO HOSPITAL E MATERNIDADE CORONEL JUCA FERREIRA
56813926000150,SANTA CASA DE MISERICORDIA DE STA CRUZ DO RIO PARDO
56889595000132,HOSPITAL DE MISERICORDIA DE ALTINOPOLIS
56896368000134,IRMANDADE DA SANTA CASA DE MISERICORDIA DE JABOTICABAL
56898356000149,IRMANDADE DA SANTA CASA DE MISERICORDIA DE SANTA ISABEL
56927809000118,IRMANDADE DA SANTA CASA DE MISER DE STA RITA DO PASSA QUATRO
56959117000151,SANTA CASA DE MISERICORDIA DE SANTA ROSA DE VITERBO
57038952000111,SANTA CASA DE MISERICORDIA DE SANTO AMARO
57047342000184,FUNDACAO HOLAMBRA DE SAUDE
57326118000121,AUTARQUIA HOSPITAL MUNICIPAL DE IEPE
57388506000137,IRMANDADE DO HOSPITAL DE CARIDADE ANITA COSTA
57553265000134,IRMANDADE DA SANTA CASA DE MIS MAUA
57571275000283,FUNDACAO DO ABC FUABC
57571275000526,FUNDACAO DO ABC FUABC
57571275000879,FUNDACAO ABC
57571275000950,FUNDACAO DO ABC
57571275001174,FUNDACAO DO ABC
57571275001255,FUNDACAO DO ABC FUABC
57571275001336,MUNICIPIO DE MAUA
57722118000140,FUND DE APOIO AO ENSINO PESQ E ASSISTENCIA HCFMRPUSP
57740490000260,CONSORCIO INTERMUNICIPAL DE SAUDE DO VALE DO RIBEIRA
57740490000503,CONSORCIO INTERMUNICIPAL DE SAUDE DO VALE DO RIBEIRA
57815469000104,HOSPITAL MATERNIDADE DE ANGRA DOS REIS HMAR
58194622000188,SOCIEDADE PORTUGUESA DE BENEFICENCIA
58198524000119,IRMANDADE DA SANTA CASA DA MISERICORDIA DE SANTOS
58484239000164,SANTA CASA DE MISERICORDIA FREDERICO OZANAN
59006460000170,FUNDACAO BENEFICIENTE DE PEDREIRA
59086215000110,SANTA CASA DE MISERICORDIA DE SAO BENTO DO SAPUCAI
59610394000142,IRMANDADE DA SANTA CASA DE MISERICORDIA DE SAO CARLOS
59759084000194,SANTA CASA DE MISERICORDIA DONA CAROLINA MALHEIROS
59761015000115,HOSPITAL FELICIO LUCHINI
59849182000112,SANTA CASA DE MISERICORDIA DE SAO JOAQUIM DA BARRA
59852277000195,INSTITUTO DE AMPARO AO EXCEPCIONAL NHANDEARA
59901454000186,SANTA CASA DE MISERICORDIA HOSPITAL SAO VICENTE
59972307000105,ASSOCIACAO PORTUGUESA DE BENEFICENCIA DE SAO JOSE DO RIO PRE
59981712000181,IRMANDADE DA SANTA CASA DE MISERICORDIA DE S J RIO PRETO
59986224000167,HOSPITAL DR ADOLFO BEZERRA DE MENEZES
60003761000129,FUNDACAO FACULDADE REGIONAL DE MEDICINA DE SAO JOSE DO RIO P
60003761000471,FUNDACAO REGIONAL DE MEDICINA DE SAO JOSE RIO PRETO
60007648000383,INSTITUTO ESPIRITA NOSSO LAR
60127198000109,STS ESTETICLIN HOSPITAL GERAL LTDA
60194990000682,INSTITUTO DAS PEQUENAS MISSIONARIAS DE MARIA IMACULADA
60194990000763,INSTITUTO DAS PEQUENAS MISSIONARIAS DE MARIA IMACULADA
60194990000844,INSTITUTO DAS PEQUENAS MISSIONARIAS DE MARIA IMACULADA
60194990001140,INSTITUTO DAS PEQUENAS MISSIONARIAS DE MARIA IMACULADA
60194990002111,INSTITUTO DAS PEQUENAS MISSIONARIAS DE MARIA IMACULADA
60194990002200,INSTITUTO DAS PEQUENAS MISSIONARIAS DE MARIA IMACULADA
60315462000120,SANTA CASA DE MISERICORDIA DE SAO LUIZ DO PARAITINGA
60332673000170,IRMANDADE DA SANTA CASA DE MISERICORDIA SAO VICENTE DE PAULO
60453024000390,ASSOCIACAO BENEFICENTE SIRIA
60453032000174,UNIFESP EPM HOSPITAL SAO PAULO
60499365000215,FUNDACAO LEONOR DE BARROS CAMARGO
60518180000987,ASSOCIACAO EDUCADORA DA INFANCIA E JUVENTUDE
60544244000167,SOCIEDADE HOSPITAL SAMARITANO
60552098000111,SOCIEDADE BRASILEIRA E JAPONESA DE BENEFICIENCIA SANTA CRUZ
60726502000711,HOSPITAL ALEMAO OSWALDO CRUZ
60740719000190,SANATORINHOS ACAO COMUNITARIA DE SAUDE
60740719000433,SANATORINHOS ACAO COMUNITARIA DE SAUDE
60740719001405,SANATORINHOS ACAO COMUNITARIA DE SAUDE
60742616000160,CASA DE SAUDE SANTA MARCELINA
60742616000240,CASA DE SAUDE SANTA MARCELINA
60742616002103,CASA DE SAUDE SANTA MARCELINA
60747318000162,INSTITUTO DE ASSI MEDICA DO SERVIDOR PUBLICO ESTADUAL SP
60762846000190,ASSOCIACAO CRUZ VERDE
60765823000130,SOCIEDADE BENEFICENTE ISRAELITA BRAS HOSP ALBERT EINSTEIN
60765823002779,SOCIEDADE BENEF ISRAELITA BRAS HOSPITAL ALBERT EINSTEIN
60833910001230,INSTITUICAO ADVENT CENTRAL BRAS DE EDUC E ASS SOCIAL
60884855002440,IMPAR SERVICOS HOSPITALARES
60922168000429,ASSOCIACAO CONGREGACAO DE SANTA CATARINA
60922168001077,ASSOCIACAO CONGREGACAO DE SANTA CATARINA
60922168001158,ASSOCIACAO CONGREGACAO DESANTA CATARINA
60922168001824,ASSOCIACAO CONGREGACAO DE SANTA CATARINA
60922168002553,ASSOCIACAO CONGREGACAO DE SANTA CATARINA
60922168004335,ASSOCIACAO CONGREGACAO DE SANTA CATARINA
60922168004688,ASSOCIACAO CONGREGACAO DE SANTA CATARINA
60922168005145,ASSOCIACAO CONGREGACAO DE SANTA CATARINA
60922168005226,ASSOCIACAO CONGREGACAO DE SANTA CATARINA
60922168005307,ASSOCIACAO CONGREGACAO DESANTA CATARINA
60945854000172,INSTITUTO DO CANCER ARNALDO VIEIRA DE CARVALHO
60961422000155,SERVICO SOCIAL DA IND DO PAPEL PPLAO E CORT DO EST SAO PAULO
60961968000106,FUNDACAO ANTONIO PRUDENTE
60967551002102,INSTITUTO PRESBITERIANO MACKENZIE
60967551002790,INSTITUTO PRESBITERIANO MACKENZIE
60975174003036,ASSOCIACAO DE BENEFICENCIA E FILANTROPIA SAO CRISTOVAO
60975737000909,SOCIEDADE BENEFICENTE SAO CAMILO
60975737001395,SOCIEDADE BENEFICENTE SAO CAMILO
60975737001638,SOCIEDADE BENEFICENTE SAO CAMILO
60975737001719,SOCIEDADE BENEFICENTE SAO CAMILO
60975737002014,SOCIEDADE BENEFICENTE SAO CAMILO
60975737002286,SOCIEDADE BENEFICENTE SAO CAMILO
60975737002367,SOCIEDADE BENEFICIENTE SAO CAMILO
60975737002529,SOCIEDADE BENEFICENTE SAO CAMILO
60975737002600,SOCIEDADE BENEFICENTE SAO CAMILO
60975737003096,SOCIEDADE BENEFICENTE SAO CAMILO
60975737003339,SOCIEDADE BENEFICIENTE SAO CAMILO
60975737003509,SOCIEDADE BENEFICENTE SAO CAMILO
60975737003762,SOCIEDADE BENEFICENTE SAO CAMILO
60975737004068,SOCIEDADE BENEFICENTE SAO CAMILO
60975737004149,SOCIEDADE BENEFICENTE SAO CAMILO
60975737005030,SOCIEDADE BENEFICIENTE SAO CAMILO
60975737005463,SOCIEDADE BENEFICIENTE SAO CAMILO
60975737005706,SOCIEDADE BENEFICENTE SAO CAMILO
60975737005897,SOCIEDADE BENEFICENTE SAO CAMILO
60975737005978,SOCIEDADE BENEFICENTE SAO CAMILO
60975737006001,SOCIEDADE BENEFICENTE SAO CAMILO
60975737006273,SOCIEDADE BENEFICENTE SAO CAMILO
60975737006354,SOCIEDADE BENEFICENTE SAO CAMILO
60975737006435,SOCIEDADE BENEFICIENTE SAO CAMILO
60975737006516,SOCIEDADE BENEFICENTE SAO CAMILO
60975737006605,SOCIEDADE BENEFICENTE SAO CAMILO
60975737006869,SOCIEDADE BENEFICENTE SAO CAMILO
60975737007083,SOCIEDADE BENEFICENTE SAO CAMILO
60975737007164,SOCIEDADE BENEFICENTE SAO CAMILO
60975737007245,SOCIEDADE BENEFICENTE SAO CAMILO
60975737007598,SOCIEDADE BENEFICENTE SAO CAMILO
60975737007679,SOCIEDADE BENEFICENTE SAO CAMILO
60975737007750,SOCIEDADE BENEFICENTE SAO CAMILO
60975737007830,SOCIEDADE BENEFICENTE SAO CAMILO
60975737007911,SOCIEDADE BENEFICENTE SAO CAMILO
60975737008055,SOCIEDADE BENEFICENTE SAO CAMILO
60975737008136,SOCIEDADE BENEFICIENTE SAO CAMILO
60975737008489,SOCIEDADE BENEFICENTE SAO CAMILO
60975737009299,SOCIEDADE BENEFICENTE SAO CAMILO
60975737009370,SOCIEDADE BENEFICENTE SAO CAMILO
60975737009450,SOCIEDADE BENEFICENTE SAO CAMILO
60975737009531,SOCIEDADE BENEFICENTE SAO CAMILO
60975737009965,SOCIEDADE BENEFICENTE SAO CAMILO
60975737011358,SOCIEDADE BENEFICENTE SAO CAMILO
60975976000101,ASSOCIACAO BENEFICIENTE NOSSA SENHORA DE NAZARE
60979457000111,ASSOCIACAO DE ASSISTENCIA A CRIANCA DEFICIENTE
60988813000163,HOSPITAL VERA CRUZ LTDA
60990751001791,FUNDACAO SAO PAULO
60992427000650,BENEFICENCIA NIPO BRASILEIRA DE SAO PAULO
60992427001893,BENEFICENCIA NIPO BRASILEIRA DE SAO PAULO
60992427002270,BENEFICENCIA NIPO BRASILEIRA DE SAO PAULO
61442190001082,IGESP SA CENTRO MEDICO E CIRURGICO INST GASTROENT DE SP
61590410000124,SOCIEDADE BENEFICENTE DE SENHORAS HOSPITAL SIRIO LIBANES
61599908000158,REAL E BENEMERITA ASSOCIACAO PORTUGUESA DE BENEFICENCIA
61599908003173,REAL E BENEMERITA ASSOCIACAO PORTUGUESA DE BENEFICENCIA
61617908000214,CONGREGACAO DAS IRMAS HOSPITALEIRAS D0 SAGR COR DE JESUS
61617908000303,CONGREGACAO DAS IRMAS HOSPITALEIRAS DO SAG CORACAO DE JESUS
61617908000486,CONGREGACAO DAS IRMAS HOSPIT DO SAGRADO CORACAO DE JESUS
61626958000187,ASSOCIACAO MANTENEDORA JOAO EVANGELISTA
61667580000160,ASSOCIACAO BENEFICENTE DOS HOSPITAIS SOROCABANA
61667580000240,ASSOCIACAO BENEFICENTE HOSPITAIS SOROCABANA
61699567000192,SPDM ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICIN
61699567001326,PREFEITURA MUNICIPAL DE GUARULHOS
61699567004694,SPDM ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICIN
61699567004937,SPDM ASSOC PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA
61699567005070,SPDM ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICIN
61699567012018,SPDM PAIS HOSPITAL AMPARO MATERNAL
61705877000334,ASSOCIACAO EVANGELICA BENEFICENTE
61821344000156,SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO
61857710000208,ASSISTENCIA VICENTINA DE SAO PAULO
61904678000193,ASSOCIACAO CONGREGACAO DE SANTA CATARINA
61956496000247,CENTRO DE VALORIZACAO DA VIDA
61957627000120,CASA DE DAVID TABERNACULO ESPIRITA PARA EXCEPCIONAIS
61986402000282,ASSOCIACAO FILHAS DE SAO CAMILO
61986402000363,ASSOCIACAO FILHAS DE SAO CAMILO
61986402000797,ASSOCIACAO FILHAS DE SAO CAMILO
61986402001173,ASSOCIACAO FILHAS DE SAO CAMILO
61986402001254,ASSOCIACAO FILHAS DE SAO CAMILO
61986402001416,ASSOCIACAO FILHAS DE SAO CAMILO
61986402001505,ASSOCIACAO FILHAS DE SAO CAMILO
62106505000192,CRUZ AZUL DE SAO PAULO
62220637000140,CENTRO ESPIRITA NOSSO LAR CASAS ANDRE LUIZ
62220637000302,CENTRO ESPIRITA NOSSO LAR CASAS ANDRE LUIZ
62277207002290,ORGANIZACAO SANTAMARENSE DE EDUCACAO E CULTURA OSEC
62424536000191,SOCIAM ASSISTENCIA MEDICA LTDA
62779145000190,IRMANDADE DA SANTA CASA DE MISERICORDIA DE SAO PAULO
62779145000270,IRMANDADE DA SANTA CASA DE MISERICORDIA DE SAO PAULO
62779145000947,ISCMSP CENTRO DE ATENCAO INTEGRADA A SAUDE MENTAL
62827860000150,CASA DA CRIANCA BETINHO LAR ESPIRITA P EXCEPCIONAIS
62932942000165,INSTITUTO BRASILEIRO DE CONTROLE DO CANCER
62932942000408,INSTITUTO BRASILEIRO DE CONTROLE DO CANCER
63025530008270,UNIVERSIDADE DE SAO PAULO HRAC
63025530008512,HOSPITAL UNIVERSITARIO DA UNIVERSIDADE DE SAO PAULO
63086359000224,POLICLINICA DE IRECE LTDA
63088645000148,HOSPITAL E MATERNIDADE PONTE NOVA S C LTDA
63103048000145,ASS SAO DOMINGUENSE DE PROTECAO A MATERNIDADE E A INFANCIA
63112114000143,PREFEITURA MUNICIPAL DE GENTIO DO OURO
63177125000101,HOSPITAL E MATERNIDADE DE PINDAI SC LTDA
63177745000221,ASSOCIACAO BENEFICENTE SAO PEDRO
63177745000302,ASSOCIACAO BENEFICENTE SAO PEDRO
63254312000141,E B S FERNANDES E CIA LTDA
63259618000190,LITHOCENTER HOSPITAL DIA LTDA
63403018000154,PREFEITURA MUNICIPAL DE ARARI
63451363000244,PREFEITURA MUNICIPAL DE TURIACU
63534697000109,MELO GOIABEIRA LTDA
63554067020466,HAPVIDA ASSISTENCIA MEDICA S A
63554067022329,HAPVIDA ASSISTENCIA MEDICA S A
63573521000158,CLINICA NOSSA SENHORA DAS GRACAS SC
63602940000170,FUNDACAO HOSPITAL ESTADUAL DO ACRE
63640015000134,PRONTO OLHOS CLINICA DE OLHOS LTDA
63678320000115,FUND DE HEMAT E HEMOTERAPIA DO AMAZONAS
63743462000119,CENTRO DE DIAGNOSTICO OFTALMOLOGICO DA AMAZONIA LTDA
63761019000170,CENTRO DE MEDICINA TROPICAL DE RONDONIA
63761944000282,PREFEITURA MUNICIPAL DE GOVERNADOR JORGE TEIXEIRA
63761985000279,PREFEITURA MUNICIPAL DE MONTE NEGRO
63761993000215,MUNICIPIO DE SERINGUEIRAS
63762009000230,HOSPITAL MUNICIPAL NOVO HORIZONTE DO OESTE
63801575000123,CLINICA DE ACIDENTADOS SAO FRANCISCO
63813331000160,HOSPITAL DAS CLINICAS DE DOM ELISEU
63887483000108,HOSPITAL E MATERNIDADE SANTA BARBARA SC LTDA
64486822000298,CONSORCIO INTERMUNICIPAL DE SAUDE DO ALTO SAO FRANCISCO
65712689000122,SANTA CASA DE MISERICORDIA DE CAJOBI
65713471000192,IRMANDADE DA SANTA CASA DE MISERICORDIA DE POPULINA
66229196000107,HOSPITAL JESUS MENINO
67185694000150,GRUPO DE APOIO AO ADOLESCENTE E A CRIANCA COM CANCER GRAAC
67187070000171,INSTITUTO PAULISTA E PESQUISAS DE ESTUDOS EM OFTALMOLOGIA
68322411000137,PREFEITURA MUNICIPAL DE SAO JOSE DO NORTE
69428597000257,PREFEITURA MUNICIPAL DE TASSO FRAGOSO
69574929000120,HOSPITAL E MATERNIDADE DE TIMON LTDA
69602100000194,JOSE LINCOLIN SOBRAL MATOS
69697290000170,ASSOC BENEF FAM CARENTES PACAJUS
69924546000135,CLIPS II HOSPITAL GERAL MENINO JESUS
70014030000132,INSTITUTO DA VISAO LTDA
70134440000117,HOSPITAL E MAT MARIA J MARANHAO
70237227000130,HOSPITAL MEMORIAL ARCOVERDE LTDA
70524145000177,HOSPITAL DE MEDICINA ESPECIALIZADA S A
70524178000117,SOCIEDADE BENEF HOSP DR BEZERRA DE MENEZES
70914171000101,HOSPITAL BENEFICIENTE SAO LUCAS DE SAO PEDRO
70945936000170,IRMANDADE DA SANTA CASA DE MISERICORDIA DE SAO ROQUE
71033278000103,CASA DE SAUDE SAO JANUARIO
71041289000135,IRMANDADE DA SANTA CASA CORACAO DE JESUS
71051536000184,SANTA CASA DE MISERICORDIA DE GRAMA
71071666000189,SANTA CASA DE MISERICORDIA DE SAO SIMAO
71262703000136,ASSOCIACAO DA SANTA CASA DE MISERICORDIA DE SERRA NEGRA
71305635000145,SOCIEDADE BENEFICENTE HOSP STA CASA DE MISERICORDIA SERRANA
71326292000103,IRMANDADE DA SANTA CASA DE SERTAOZINHO
71352488000164,REZENDE OLIVEIRA E OLIVEIRA LTDA
71408546000124,IRMANDADE DA SANTA CASA DE MISERICORDIA DE SOCORRO
71462501000138,INSTITUTO PSIQUIATRICO PROF ANDRE TEIXEIRA LIMA LTDA
71485056000121,IRMANDADE DA SANTA CASA DE MISERICORDIA DE SOROCABA
71858880000180,HOSPITAL PSIQUIATRICO VERA CRUZ SC LTDA
71867600000108,ASSOCIACAO PROTETORA DOS INSANOS DE SOROCABA
71981476000107,ASSOCIACAO BENEFICENTE DE TABAPUA
71991087000154,SANTA CASA DE MISERICORDIA SAO MIGUEL
72052350000102,IRMANDADE DA SANTA CASA DE MISERICORDIA DE TAMBAU
72079114000180,SANTA CASA SAO VICENTE DE PAULO DE TANABI
72127210000156,IRMANDADE DA SANTA CASA DE MIS E MAT D ZILDA SALVAGNI
72189582000107,SANTA CASA DE MISERICORDIA DE TATUI
72386212000160,INSTITUTO DOUTOR FRANCISCO SPINOLA
72457716000123,SANTA CASA DE MISERICORDIA DE TIETE
72510480000141,CENTRO DE ONCOLOGIA CASCAVEL LIMITADA
72510480000303,CENTRO DE ONCOLOGIA CASCAVEL S C LTDA
72547623000190,SANTA CASA DE MISERICORDIA DE TUPA
72551799000115,HOSPITAL BENEFICENTE SAO JOSE
72554611000192,HOSPITAL DE CLINICAS BERMIRO SAGGIORATTO LTDA
72557689000160,CASA DA CRIANCA DE TUPA
72576143000157,SERVICOS HOSPITALARES YUGE S A
72699119000105,IRMANDADE SANTA CASA DE MISERICORDIA DE TUPI PAULISTA
72747967000142,SANTA CASA DE MIS IRMANDADE DO SENHOR DOS PASSOS DE UBATUBA
72790280000190,IRMANDADE DE MISERICORDIA DE URUPES
72835804000111,SANTA CASA DE MISERICORDIA DE VALPARAISO
72863665000130,HOSPITAL DE CARIDADE DE VARGEM GRANDE DO SUL
72909179000105,IRMANDADE DA SANTA CASA DE VINHEDO
72938079000107,HOSPITAL E MATERNIDADE SAO VICENTE DE PAULO
72957814000120,SANTA CASA DE MISERICORDIA DE VOTUPORANGA
73027690000146,SANTA CASA DE MISERICORDIA DE CHAVANTES
73360539000125,ASSOCIACAO BENEFICENTE DA POLICIA MILITAR
73433427000157,FUNDACAO DE SAUDE DO ALTO VALE DO ITAJAI
73488637000142,HOSPITAL SENHOR DO BONFIM LTDA
73547937000155,HOSPITAL ITAGIBA LTDA ME
73610818000280,FUNDACAO COMUNITARIA DE ENSINO SUPERIOR DE ITABIRA
73696718000219,INSTITUICAO ADVENTISTA ESTE BRAS DE PREV E ASS A SAUDE
73711236000100,PRO MEDICA LTDA
73976722000150,HOSPITAL MATERNIDADE RIBEIRO CRUZ LTDA
74026501000183,CLINICA E MATERNIDADE DE IRAMAIA LTDA
74045626000312,CENTRO BIONUCLEAR DE DIAGNOSTICO LTDA
74064627000142,SOCIEDADE HOSPITALAR VITORIA LTDA
75095679000220,UNIVERSIDADE FEDERAL DO PARANA
75095679000572,UNIVERSIDADE FEDERAL DO PARANA
75097428000101,HOSPITAL PINEL LTDA
75120733000169,HOSPITAL E MATERNIDADE SANTA IZABEL SC LTDA
75225425000106,CLINICA DE ORTOPEDIA E TRAUMATOLOGIA DE LONDRINA LTDA
75229021000182,CLINICA PSIQUIATRICA DE LONDRINA LTDA
75255091000105,CLINICA MEDICO SOCIAL RURAL
75266155000173,PARANA EMPREENDIMENTOS HOSPITALARES LTDA
75266155000254,PARANA EMPREENDIMENTOS HOSPITALARES LTDA
75284950000194,INSTITUTO DE SAUDE BOM JESUS
75349795000147,FUNDACAO HOSPITALAR DE ASTORGA
75354621000172,SANTA CASA DE MISERICORDIA DE ABATIA
75362459000134,F F CLAUDINO E CIA LTDA
75367268000165,SANTA CASA DE MISERICORDIA DE ENGENHEIRO BELTRAO
75379024000100,HOSPITAL E MATERNIDADE SANTA TEREZINHA LTDA
75400721000198,ARAUJO FERREIRA E CIA LTDA
75403287000108,IRMANDADE DA SANTA CASA DE ARAPONGAS
75433334000158,HOSPITAL BENEFICENTE SAO JOSE DE CAIBI
75438655000307,FUNDACAO HOSPITALAR MUNICIPAL DE CORREIA PINTO
75444471000198,HOSPITAL SAO ROQUE SOCIEDADE BENEFICIENTE DE LUZERNA
75511469000194,ARIEL DE BARROS MENEZES LTDA
75518530000125,CLINICA SANTA CRUZ LTDA
75524157000115,HOSPITAL NOSSA SENHORA CONSOLATA
75526756000178,HOSPITAL SAO JUDAS TADEU DE MANGUEIRINHA LTDA EPP
75538389000122,ASSOCIACAO HOSPITAL DE CLINICAS ECLEA WOLF
75564625000185,ASSOCIACAO ASSISTENCIAL DE GUAIRA
75574418000101,HOSPITAL E MAT SANTA MARCELINA LTDA
75584193000174,HOSPITAL E MATERNIDADE SANTA CRUZ LTDA
75591081000140,HOSPITAL CRISTO REI DE QUEDAS DO IGUACU LTDA
75608547000173,ASSOCIACAO HOSPITALAR BOM JESUS
75608547000335,ASSOCIACAO HOSPITALAR BOM JESUS
75623181000101,ASSOCIACAO HOSPITALAR BENEFICENTE DE BANDEIRANTES
75683276000110,IRMANDADE DA SANTA CASA DE MISERICORDIA DE PRUDENTOPOLIS
75731000000837,PREFEITURA MUNICIPAL DE FLORAI
75734004000100,FUNDACAO MEDICO ASSISTENCIAL DO TRABALHADOR RURAL IVAIPORA
75741330000137,MUNICIPIO DE IVAIPORA
75753442000108,CENTRO DE TRIAGEM E OBRAS SOCIAIS DO VALE DO IVAI
75757849000103,SANTA CASA DE MISERICORDIA DE CAMBE
75802348000100,MATERNIDADE E CIRURGIA NOSSA SENHORA DO ROCIO S A
75807073000199,HOSPITAL E MATERNIDADE PAROLIN LTDA
75829408000170,FUNDACAO DO HOSPITAL E MATERNIDADE SANTA ADELAIDE
75851097000145,HOSPITAL REGIONAL DE DOURADINA
75854901000140,HOSPITAL GERAL NOSSA SENHORA APARECIDA LTDA
75866244000150,AURELIO REGASSO
75886325000112,THEODORO BUSSO BECK
75887471000162,SANTA CASA DE MISERICORDIA MARIA ANTONIETA
75927244000113,MARCO AURELIO CARPES MARCON
75944710000179,POLICLINICA RONDON LTDA
75957431000140,ASSOCIACAO NOSSA SENHORA APARECIDA DE TURVO
75981290000109,HOSPITAL NOSSA SENHORA DE LOURDES LTDA
75984195000150,HOSPITAL SUDOESTE LTDA
75994145000154,CLINICA MEDICA NOSSA SENHORA SALETE LTDA
76021476000170,HOSPITAL E MATERNIDADE IMACULADA CONCEICAO
76022516000280,PREFEITURA MUNICIPAL DE ANTONINA
76048339000120,POLICLINICA CRISTO REI LTDA
76051317000119,HOSPITAL SAO JOAO DO IVAI II
76060235000130,HOSPITAL E MATERNIDADE IVAIPORA LTDA
76080027000101,HOSPITAL SAO LUCAS DE CASCAVEL LTDA
76081199000191,HOSPITAL E MATERNIDADE PARAIBA LTDA
76081892000164,HOSPITAL POLICLINICA CASCAVEL S A
76104058000147,HOSPITAL DE OLHOS DO PARANA LTDA
76105543001107,PREFEITURA MUNICIPAL DE SAO JOSE DOS PINHAIS
76128164000160,SOCIEDADE BENEFICENTE HOSPITALAR DE CONGONHINHAS
76133222000144,HOSPITAL DE SANTO INACIO LTDA
76179548000102,HOSPITAL SANTO ANTONIO DE CANTAGALO
76195452000138,HOSPITAL E MATERNIDADE SAO SEBASTIAO
76212265000115,IRMANDADE STA CASA DE MIS NOSSA SRA DO ROSARIO DE COLOMBO
76245596000151,VILLA NORMANDA CLINICA PSIQUIATRICA COMUNITARIA SC LTDA
76256064000110,CASA DE MISERICORDIA DE CORNELIO PROCOPIO
76266279000111,HOSPITAL VERA CRUZ DO OESTE
76279959000250,PREFEITURA MUNICIPAL DE PRES CASTELO BRANCO
76290709000211,PREFEITURA MUNICIPAL DE ASSAI
76382647000197,CLINICA NOSSA SRA FATIMA CRUZEIRO DO OESTE LTDA
76411719000187,REINALDO ALCEU GASPARELO
76414408000171,POLICLINICA SANTA HELENA LTDA
76416866000816,SECRETARIA DE ESTADO DA SAUDE
76416866000905,SECRETARIA DE ESTADO DA SAUDE
76416866001898,SECRETARIA DE ESTADO DA SAUDE
76416866002517,SECRETARIA DE ESTADO DA SAUDE
76416866003408,SECRETARIA DE ESTADO DA SAUDE
76416866003670,SECRETARIA DE ESTADO DA SAUDE
76416866003750,SECRETARIA DE ESTADO DA SAUDE
76416866003831,SECRETARIA DE ESTADO DA SAUDE
76416866004137,SECRETARIA DE ESTADO DA SAUDE
76416866004218,SECRETARIA DE ESTADO DA SAUDE
76416866004560,SECRETARIA DE ESTADO DA SAUDE
76416866004641,SECRETARIA DE ESTADO DA SAUDE
76416866004722,SECRETARIA DE ESTADO DA SAUDE
76416866004803,SECRETARIA DE ESTADO DA SAUDE
76416866004994,SECRETARIA DE ESTADO DA SAUDE
76416866005109,SECRETARIA DE ESTADO DA SAUDE
76416866005370,SECRETARIA DE ESTADO DA SAUDE
76427152000137,FUNDACAO MEDICO ASSISTENCIAL DE CAPITAO LEONIDAS MARQUES
76440577000186,CLINICA HEIDELBERG LTDA
76443951000105,MURAOKA E SARUASHI
76449297000139,HOSPITAL SANTO ANTONIO DO IGUACU LTDA
76493345000196,INSTITUTO DE MEDICINA E CIRURGIA DO PARANA LTDA
76498013000102,HOSPITAL NOSSA SENHORA DO PILAR S A
76502897000113,HOSPITAL SAO LUCAS SA
76530518000107,HOSPITAL XV LTDA
76544741000600,FEDERACAO ESPIRITA DO PARANA
76555069000143,HOSPITAL SANTA CRUZ SOCIEDADE ANONIMA
76562198000169,HOSPITAL NOSSA SENHORA DAS GRACAS
76562198000240,HOSPITAL NOSSA SENHORA DAS GRACAS
76562198000320,HOSPITAL NOSSA SENHORA DAS GRACAS
76562198000401,HOSPITAL NOSSA SENHORA DAS GRACAS
76562198000592,HOSPITAL NOSSA SENHORA DAS GRACAS
76562198000673,HOSPITAL NOSSA SENHORA DAS GRACAS
76575604000209,SOCIEDADE EVANGELICA BENEFICENTE DE CURITIBA
76578137000602,PROV BRAS CONG IRMAS FILHAS CARID SAO VICENTE DE PAULO
76578137001595,PROV BRAS CONG IRM CAR SAO VICENTE DE PAULO
76578137001757,PROV BRAS DA CIFC DE SAO VICENTE DE PAULO
76578137003458,PROVINCIA BRAS DAS IRMAS DA CARIDADE SV DE PAULO
76578137006392,PROVINCIA BRAS CONG IRMAS FILHAS CARID SAO VICENTE DE PAULO
76591049000128,LIGA PARANAENSE DE COMBATE AO CANCER
